Title,Week,List,Rank,Author,Price,ISBN,Previous Rank,Weeks on List
The Giver,1/24/2018,Young Adult,9,Lois Lowry,9.99,9780544340688,,
Carve the Mark,1/24/2018,Young Adult,10,Veronica Roth,12.99,9780062348647,,
Far From the Tree,1/24/2018,Young Adult,11,Robin Benway,17.99,9780062330628,,
Warcross,1/24/2018,Young Adult,12,Marie Lu,18.99,9780399547966,,
Salt to the Sea,1/24/2018,Young Adult,13,Ruta Sepetys,10.99,9780142423622,,
Looking for Alaska,1/24/2018,Young Adult,14,John Green,19.99,9780525428022,,
One of Us Is Lying,1/24/2018,Young Adult,15,Karen M. McManus,17.99,9781524714680,,
Turtles All the Way Down,1/31/2018,Young Adult,1,John Green,19.99,9780525555360,,
The Hate U Give,1/31/2018,Young Adult,2,Angie Thomas,17.99,9780062498533,,
The Book of Dust: La Belle Sauvage,1/31/2018,Young Adult,3,Philip Pullman,22.99,9780375815300,,
The Cruel Prince,1/31/2018,Young Adult,4,Holly Black,18.99,9780316310277,,
"Everything, Everything",1/31/2018,Young Adult,5,Nicola Yoon,10.99,9781524769604,,
The Book Thief,1/31/2018,Young Adult,6,Markus Zusak,12.99,9780385754729,,
Renegades,1/31/2018,Young Adult,7,Marissa Meyer,19.99,9781250044662,,
The Absolutely True Diary of a Part-Time Indian,1/31/2018,Young Adult,8,Sherman Alexie,15.99,9780316013697,,
The Fault in Our Stars,1/31/2018,Young Adult,9,John Green,12.99,9780142424179,,
Warcross,1/31/2018,Young Adult,10,Marie Lu,18.99,9780399547966,,
The Giver,1/31/2018,Young Adult,11,Lois Lowry,9.99,9780544340688,,
Salt to the Sea,1/31/2018,Young Adult,12,Ruta Sepetys,10.99,9780142423622,,
Every Day,1/31/2018,Young Adult,13,David Levithan,9.99,9780307931894,,
One of Us Is Lying,1/31/2018,Young Adult,14,Karen M. McManus,17.99,9781524714680,,
The Sun Is Also a Star,1/31/2018,Young Adult,15,Nicola Yoon,18.99,9780553496680,,
